bowler,style
HH Pandya,Pace
WER Somerville,Spin
CRD Fernando,Pace
MET Salisbury,Spin
CAJ Meschede,Spin
MR Marsh,Pace
RP Singh,Pace
PWH de Silva,Spin
F O'Neill,Spin
DE Bollinger,Pace
PWA Mulder,Spin
GT Bell,Pace
P Kumar,Pace
A Nel,Pace
MG Bracewell,Pace
AAP Atkinson,Pace
B Muzarabani,Pace
A Shrubsole,Pace
GD McGrath,Pace
RJ Gleeson,Pace
Naseem Shah,Pace
BWM Mike,Pace
JD Wildermuth,Pace
RJ Harris,Pace
SFM Devine,Pace
PVD Chameera,Pace
AG Cremer,Spin
MR Adair,Pace
GB Hogg,Spin
J Botha,Spin
IG McPeake,Pace
JNT Seales,Pace
NGRP Jayasuriya,Spin
LW James,Pace
SC Meaker,Pace
AJ Hosein,Spin
P Utseya,Spin
Faheem Ashraf,Pace
DM de Silva,Spin
M Jansen,Pace
SC Williams,Pace
D Moriarty,Spin
NT Ellis,Pace
FW Sheat,Pace
BM Scholtz,Pace
GCH Hill,Pace
Mohammad Rafique,Spin
RL Toole,Pace
LMM Tahuhu,Pace
LBK Hollman,Pace
Anuj Dal,Pace
MM Patel,Pace
MB McEwan,Pace
SHA Rance,Pace
KA Pollard,Pace
AJ Hall,Pace
A Nortje,Pace
JD Ryder,Pace
SR Taylor,Pace
Shoaib Bashir,Spin
AJ Tye,Pace
SR Clark,Pace
CH Morris,Pace
A Virdi,Spin
CE Dean,Pace
L Embuldeniya,Spin
JM Holland,Spin
SN Thakur,Pace
A Wellington,Spin
NM Hauritz,Spin
NJ Dexter,Pace
NN Gilchrist,Pace
XC Bartlett,Pace
GR Napier,Pace
DJ Lamb,Pace
M Perry,Pace
PA van Meekeren,Pace
BAD Manenti,Pace
HT Crocombe,Pace
DJ Mitchell,Pace
GC Viljoen,Pace
PP Chawla,Spin
EJ Nuttall,Spin
MF Maharoof,Pace
Mohammad Asif,Pace
K Noema-Barnett,Pace
LCN Smith,Pace
AM Fernando,Spin
A Khaka,Pace
CR Brathwaite,Pace
Rehan Ahmed,Spin
Shahadat Hossain,Pace
A Nehra,Pace
MVT Fernando,Pace
AS Dale,Pace
TL Chatara,Pace
TAR Scriven,Pace
MJ Hoggard,Pace
DD Masters,Pace
NR Sciver,Pace
J Allenby,Pace
RTM Mendis,Spin
Abdul Razzaq,Spin
LS Livingstone,Spin
BM Wheeler,Pace
HNA Conway,Pace
A King,Spin
RJ Peterson,Pace
Mohammad Irfan,Pace
Sompal Kami,Pace
BJ Dwarshuis,Pace
MP Stoinis,Pace
A Dananjaya,Spin
TA Copeland,Pace
TS Mills,Pace
JDM Evison,Pace
L Delport,Spin
CAK Rajitha,Pace
CG Harrison,Pace
JMR Taylor,Spin
BW Aitchison,Pace
W O'Rourke,Pace
DK Ferns,Pace
DT Christian,Pace
KW Richardson,Pace
AW Finch,Spin
Shafiul Islam,Pace
DBL Powell,Pace
A Symonds,Pace
JL Denly,Spin
CA Young,Spin
JP Morley,Pace
DA Douthwaite,Pace
AC Thomas,Pace
BG Lister,Pace
JD Unadkat,Pace
CP Wood,Pace
MK Andersson,Pace
ZS Ansari,Spin
LK Bell,Pace
KE Bryce,Pace
BG Randell,Pace
J Edwards,Pace
AL Hughes,Pace
MD Bates,Pace
NW Bracken,Pace
TJ Price,Pace
NA Sowter,Pace
JA Richardson,Pace
M Carter,Spin
A Sutherland,Pace
Shoaib Akhtar,Pace
Rohan Mustafa,Spin
SM Sharif,Pace
BGF Green,Pace
CB Mpofu,Pace
NL McCullum,Pace
BMJ Allison,Spin
WG Jacks,Pace
DMW Rawlins,Spin
Nida Dar,Spin
MR Gillespie,Pace
GD Phillips,Pace
R Ravindra,Spin
D van Niekerk,Pace
MP Dunn,Spin
Rahat Ali,Pace
Kasey Aldridge,Pace
KL Gordon,Pace
WS Davis,Pace
RJ McCone,Spin
Nashra Sandhu,Spin
DR Sams,Pace
WJ Weighell,Pace
BP Martin,Pace
PF Younghusband,Pace
GT Griffiths,Pace
L Pope,Spin
KJ Garth,Pace
PADLR Sandakan,Spin
Bilal Khan,Pace
SE Bond,Pace
LJ Carey,Pace
JM Coles,Pace
Sohag Gazi,Spin
R Ngarava,Pace
