bowler,style
PJ Scholfield,Spin
B Fernando,Pace
OEG Baartman,Spin
AD Mascarenhas,Spin
T Peschel,Pace
WC Ludick,Spin
DC Delany,Spin
Riazat Ali Shah,Pace
W Madhevere,Spin
N Pokana,Pace
LJ Hurt,Spin
L McCarthy,Spin
KP Meiyappan,Spin
B Shikongo,Pace
Zahir Khan,Spin
FL Mackay,Spin
MM Penfold,Spin
SK Trivedi,Spin
JG Myburgh,Spin
Sunzamul Islam,Spin
PT Collins,Spin
J Maguire,Pace
SS Weerakkody,Spin
Aliya Riaz,Pace
KY Chan,Spin
LPJ Kimber,Pace
Alok Kapali,Spin
SO Tikolo,Spin
JD Gibson,Pace
MA Beer,Pace
Mohammad Ashraful,Spin
Abul Hasan,Pace
DJ Bell-Drummond,Pace
AR Ramjani,Spin
IO Okpe,Pace
V Baskaran,Spin
CS Delport,Pace
Z Bimenyimana,Pace
JJ Boult,Pace
P Sisodiya,Spin
AO Morgan,Pace
E Bosch,Pace
Y Majid,Spin
J Nyumbu,Spin
TE Linley,Pace
S Gopal,Spin
RM Haq,Pace
EN Lynch,Pace
Chan Ka Man,Pace
Kashif Ali,Pace
RD Berrington,Pace
R Pretorius,Pace
J Mbabazi,Pace
T Straker,Pace
AM Kimote,Pace
HAM Shah,Pace
TJ Vlaeminck,Pace
Ali Dawood,Pace
M Subasingha,Spin
DKRC Jayatissa,Spin
BDH Stevens,Pace
MJG Nielsen,Pace
A Bohara,Pace
HL Colvin,Pace
Harpreet Brar,Spin
Ayan Khan,Spin
RA Whiteley,Spin
A Shukla,Pace
M Markande,Spin
MK O'Riordan,Pace
B Mavuta,Spin
Elias Sunny,Spin
MH McKiernan,Pace
K Ndlovu,Spin
C Kyewuta,Pace
JD Libby,Pace
RM Pyrah,Pace
JFA Field,Pace
T Mupariwa,Pace
R Dhawan,Pace
ARJ Ogborne,Pace
SADU Indrasiri,Spin
Harshit Rana,Pace
K Nassoro,Pace
Khushdil Shah,Spin
C Nicholas,Spin
JK Kamande,Spin
Azhar Ali,Spin
TS Chisoro,Pace
Suhrawadi Shuvo,Spin
J Harrison,Pace
Ali Naseer,Pace
MC Sorensen,Pace
D Ravu,Pace
EJB Miles,Pace
T Mayes,Pace
SIP Fernando,Spin
RG Sharma,Pace
JN Loftie-Eaton,Pace
J Groves,Spin
Ritu Moni,Pace
N Potts,Pace
EMCD Edirisinghe,Spin
DJ Hawoe,Spin
KIC Asalanka,Spin
Nazmul Hossain,Pace
Bashir Shah,Pace
RC Belbashi,Spin
DT Hondo,Pace
TJ Wells,Pace
SSD Arachchige,Spin
JP Greaves,Spin
Jay Odedra,Spin
MG Finan,Pace
Abbas Afridi,Pace
H Ishimwe,Pace
DAS Gunaratne,Spin
M Ansari,Pace
Shahbaz Ahmed,Pace
TC Bruce,Pace
JM Watkin,Pace
JJG Sales,Pace
H Osinde,Pace
GFB Scott,Pace
AL Fekete,Pace
CL Cairns,Pace
JK Lalor,Pace
AW Hawkins-Kay,Pace
EB Ringera,Pace
AS Rajpoot,Pace
B Vakarewa,Pace
M Akayezu,Pace
Waqar Salamkheil,Spin
SI Kamea,Pace
Salman Irshad,Pace
Muhammad Wafiq,Pace
LD Madushanka,Pace
JJ Krejza,Spin
SB Jakati,Spin
J Miyaji,Pace
S Nanayakkare,Pace
JE Burke,Pace
Callum Taylor,Pace
CM Taylor,Pace
TK Patel,Spin
MJ Tugaga,Pace
Khadija Tul Kubra,Spin
AM Peterson,Spin
B Evans,Pace
GJ Harte,Pace
Ahsan Malik,Pace
P Negi,Spin
TC Ali,Spin
Bilal Asif,Spin
EJ Black,Pace
MI Slaza,Pace
RJ Nicol,Pace
Bismah Maroof,Spin
HGK Dilshan,Pace
RM ter Braak,Pace
PJ Sangwan,Pace
G Snyman,Pace
OJ Gibson,Pace
Aqib Iqbal,Pace
TC Goodin,Pace
KS Castle,Pace
Usman Qadir,Spin
S Dharnidharka,Pace
GT Main,Pace
JJ van der Wath,Pace
AR Lamb,Pace
MR Corteen-Coleman,Pace
NE Bolton,Pace
A Brindle,Pace
Ikramullah Khan,Pace
S Jimmy,Pace
RM Koda,Pace
JOA Gordon,Pace
Rizwan Cheema,Pace
NB Beard,Pace
MT Foster,Pace
Yash Dayal,Pace
Umaima Sohail,Spin
XA Crone,Pace
MS Gony,Pace
ACR Birch,Pace
Saim Ayub,Pace
K Sinclair,Spin
F Banunaek,Spin
V Kohli,Pace
R MacBeth,Pace
MM Letsoalo,Pace
RO Hinds,Pace
S Vijay Unni,Pace
C Pervez,Pace
R Lord,Pace
M Lakshan,Spin
JJ Tucker,Pace
M Hill,Pace
Meghna Singh,Spin
Mohamed Shafeeq,Pace
R Tewatia,Spin
A Premaratne,Spin
RO Gordon,Pace
Haris Sohail,Spin
Bilawal Bhatti,Pace
JO Ngoche,Pace
SD Robson,Pace
KDV Vimukthi,Spin
R Hekure,Pace
BA Williams,Pace
TAM Siriwardana,Spin
K Gowtham,Spin
Umran Malik,Pace
Iqbal Abdulla,Spin
Basil Thampi,Pace
JL du Plooy,Pace
JJ Bohannon,Pace
Subashis Roy,Pace
H Carlyon,Spin
E Anderson,Pace
K Klein,Pace
S Dube,Pace
R Sharma,Pace
SR Magar,Spin
IMHC Joyce,Spin
J Nisbet,Pace
S Akiteng,Spin
RF Badenhorst,Spin
JA Atkins,Spin
J Suchith,Spin
OH Freckingham,Pace
J Mulder,Pace
B Swanepoel,Pace
I Toua,Pace
M Dharmichand,Spin
EMDY Munaweera,Spin
J Gardner,Spin
I Wijesundera,Spin
AR Puri,Spin
JA Brown,Pace
S Dhaniram,Spin
M Frost,Pace
DR Melton,Pace
CF Hughes,Pace
ML Gibson,Pace
S Thakor,Spin
P Aho,Pace
GB Brent,Pace
HJ Thomas,Pace
HC Brook,Pace
BP Coburn,Pace
MW Dixon,Pace
E Jones,Pace
L Paul,Spin
RM Hira,Spin
JS Hunter,Pace
KM Jadhav,Spin
Ehsan Adil,Pace
AR Caddick,Pace
PM Liyanagamage,Spin
BE Soper,Pace
MJ Mason,Spin
SSM Perera,Spin
VRV Singh,Pace
IJ Carlisle,Spin
KW Hogg,Spin
N Senamontree,Pace
A Krishna,Spin
C Wijesinghe,Pace
Mohammad Shahid,Pace
SA Piolet,Spin
R Tyson,Pace
NAT Watkins,Spin
CM McCarthy,Pace
Anwar Rahman,Spin
KT Maphaka,Spin
SE Aley,Spin
Pankaj Singh,Pace
Junaid Siddiqui,Spin
SA Okpe,Pace
Sammu Ashan,Spin
Bilal Hassun,Spin
CN Greaves,Spin
N Shree Charani,Spin
U Aryaman Sunil,Spin
R Ntozakhe,Spin
C Sakariya,Pace
D Parashar,Pace
GM Hennessy,Pace
TD Smartt,Spin
AD Thomason,Spin
KM Dabengwa,Spin
DC Stovell,Spin
FA Sargent,Spin
RR Sarwan,Spin
JL Finnie,Spin
AJ Turner,Spin
Mominul Haque,Spin
DS Tillakaratne,Spin
G Kodali,Pace
C Pavely,Spin
OMR Pringle,Spin
FK Cowdrey,Spin
Ateeq Iqbal,Pace
N M'shangwe,Spin
CG Sippel,Pace
P Maya,Pace
Ziaur Rahman,Pace
EC Rainsford,Pace
AL Stephen,Spin
Washeem Abbas,Pace
A Mansale,Spin
Aarif Sheikh,Pace
JD Warner,Pace
Yash Thakur,Pace
RA Weatherall,Pace
W Clark,Pace
S Nitschke,Spin
KADA Kanchana,Spin
L Jackson,Pace
MN Waller,Spin
PJ Wiseman,Spin
JB Reva,Spin
FJ Heldreich,Spin
Mohsin Khan,Pace
AZ Monaghan,Spin
J McKenzie,Pace
BB Sran,Pace
Chaya Mughal,Pace
CDJ Dent,Spin
HJ Armitage,Pace
RR O'Donnell,Pace
S Turner,Pace
OD Hald,Spin
I van Zyl,Pace
V Lahiru,Pace
Q Joseph,Spin
MJ Robbins,Pace
VC Drakes,Pace
CS Fraser,Pace
Azmatullah Omarzai,Pace
GRD Munasinghe,Spin
RR Beaton,Pace
Iqra Sahar,Spin
DE Bernard,Pace
MO Jones,Spin
HS Baidwan,Pace
WD Barnes,Pace
JS Sykes,Pace
S Muniandy,Pace
MD Bimenyimana,Spin
S Aravind,Pace
Sultana Khatun,Spin
B Ellis,Pace
A Sheikh,Spin
A Mazvishaya,Pace
Umaid Asif,Pace
Nasrulla Rana,Pace
PHKD Mendis,Spin
TLW Cooper,Pace
RA Stevenson,Pace
W Nalisa,Spin
AK Russell,Pace
C Wright,Pace
PTM Dabare,Spin
Ainna Hamizah Hashim,Pace
CL Green,Pace
S Milenko,Pace
K Bhurtel,Pace
B Ward,Spin
MA Liyanapathiranage,Spin
S Day,Spin
J Srinath,Pace
G Dempsey,Pace
NRT Gubbins,Pace
M Zondeki,Pace
JOI Campbell,Pace
Surya Anand,Pace
J Sussex,Pace
Milind Kumar,Spin
LM Benkenstein,Pace
TJ Lester,Pace
M Montgomery,Spin
CS MacLeod,Pace
Ehsan Nawaz,Pace
S von Berg,Spin
Sagar Pun,Spin
TL Chivanga,Spin
C Robertson,Spin
A Morris,Spin
Zahid Mahmood,Spin
S Morris,Spin
IC Pandey,Spin
SA Jumbe,Spin
NB Mahwire,Spin
TE Barber,Pace
VG Arora,Spin
FD Adams,Pace
NJ Astle,Pace
U Bhatti,Pace
Ghulam Ahmadi,Spin
BB Sanjeewa,Pace
GES Sullivan,Pace
JM Kemp,Pace
PZ Kamunya,Spin
T Flintoff,Pace
AI Chudasama,Spin
K Carver,Spin
DM Hogg,Spin
Muhammad Nadir,Spin
Bilal Zalmai,Spin
S Sandeep Warrier,Pace
R Powell,Spin
I Nakisuuyi,Pace
Suharril Fetri,Pace
M Mooketsi,Pace
CT Mumba,Pace
HWA Landheer,Pace
K Kunwar,Pace
JM McMillan,Pace
C de Silva,Spin
V Hamunyela,Pace
M Wai Siu,Spin
AB McDonald,Pace
Bhupinder Singh,Spin
G Keedy,Spin
IKEG Artawan,Spin
HN Ya France,Pace
Mahirah Izzati Ismail,Spin
Ibrahim Hassan,Pace
JA Diergaardt,Pace
Delawar Khan,Pace
WW Hinds,Pace
Nahidul Islam,Spin
DEM Carter,Pace
SR Patil,Spin
HRC Dilshan,Spin
EH Hutchinson,Pace
Jaspreet Singh,Pace
R Parag,Spin
CL White,Pace
DS Lehmann,Pace
G Kennedy,Spin
J Liyanage,Pace
MJ Cosgrove,Pace
G Matome,Pace
G Bakiweyem,Spin
OAC Banks,Pace
E Malinga,Pace
M Shezi,Pace
THS Pettman,Pace
OH Agbomadzie,Pace
Shahnawaz Dhani,Pace
I Nandakumar,Pace
Amir Hayat,Pace
CR Seneviratna,Spin
RJ Kirtley,Pace
Abhiraj Singh,Spin
EM Bermingham,Pace
LE Scott,Pace
AB Kaur,Spin
MW Edwards,Spin
S Kotte,Spin
Lalit Yadav,Spin
P Siaka,Spin
Rameen Shamim,Spin
Panna Ghosh,Pace
BJ Twohig,Spin
JW Shutt,Spin
MJ Lamb,Spin
T Shadrack,Spin
LE Kaushalya,Spin
CA Rose,Spin
Hassan Khan,Spin
Aiman Anwer,Pace
K Irakoze,Spin
ID Blackwell,Spin
JM Vince,Spin
E Leie,Spin
CS Sandri,Spin
KS Leverock,Spin
MWR Stokes,Pace
RDM Leverock,Spin
TJ Prest,Spin
E Rukiriza,Spin
SF Daley,Spin
Shivam Mavi,Pace
Q Abel,Spin
Ghulam Fatima,Spin
NH Patel,Pace
G Prestwidge,Pace
AJ Ball,Pace
KKN Egodage,Spin
DR Hooper,Spin
C Rububagumya,Spin
P Mishra,Pace
FW McCann,Pace
P Awana,Pace
RJ Trott,Pace
LAC Ruwansiri,Spin
Sayed Monib,Pace
BM Halliday,Spin
Anureet Singh,Pace
DA Griffiths,Pace
Ishtiaq Ahmad,Pace
CJ Metcalfe,Spin
V Saini,Pace
Haider Ali,Spin
AA Patil,Spin
GSNFG Jayasuriya,Spin
NA Greenwood,Pace
IJ Harvey,Spin
Nasir Aziz,Spin
GA Lamb,Spin
Rosine Irera,Spin
Akif Javed,Pace
BJ Taylor,Pace
PV Tambe,Spin
Muslim Yar,Spin
T Vithushan,Spin
TH David,Pace
L Mabhero,Pace
Z James,Spin
O Bell,Spin
TM Annand,Pace
GM Smith,Pace
CK Holder,Pace
Mariamma Hyder,Spin
Muhammad Ghous,Pace
JJC Lawson,Pace
D Mohammed,Pace
JJS Sangha,Spin
M Tom,Pace
Jubair Hossain,Spin
A Lee,Pace
DJ Hooda,Spin
Kashif Daud,Pace
S Loubser,Pace
Mosharraf Hossain,Spin
Parvez Rasool,Spin
Bipul Sharma,Spin
MD Gunathilaka,Pace
A Sheth,Pace
Umm-e-Hani,Spin
SR Asmussen,Pace
S Shrivastava,Spin
JWM Dalrymple,Spin
SA Fernando,Pace
JA Richards,Pace
Haseeb Amjad,Pace
Shahrulnizam Yusof,Pace
SA Wittmann,Spin
A Ikuzwe,Spin
MJ Banks,Pace
RA Fackrell,Pace
DG Crowley,Pace
Mohammad Talha,Pace
HR Cooper,Pace
KDA Manoj,Spin
Iqbal Hussain,Pace
Akif Raja,Pace
K Nanayakkara,Spin
XA Jetly,Spin
AC Voges,Spin
M Abinash,Spin
JL Hunter,Pace
PG Dooley,Pace
Amna Tariq,Spin
FG Kemp,Pace
TW Loten,Pace
C Connolly,Spin
GS Dinusha,Spin
Rakibul Hasan,Spin
JK Denly,Pace
NR Kumar,Spin
K Goud,Pace
GR Breese,Spin
SS Pathirana,Spin
SK Moloney,Pace
Abhishek Sharma,Spin
Akshay Karnewar,Spin
Swapnil Singh,Spin
RH Joseph,Spin
N Shangase,Spin
C Heenatigala,Spin
WG Bosisto,Spin
GK Diviya,Spin
WT Owen,Spin
DNT Zoysa,Spin
Shahid Nazir,Pace
DG Blampied,Spin
SH Choudhry,Spin
F Chipare,Pace
Nabil Samad,Spin
Carl Cachopa,Spin
LI Meriwala,Spin
F Overdijk,Pace
MNW Spriegel,Spin
BM Cliff,Spin
S Gunathilaka,Spin
A Gurung,Pace
D Warren,Pace
CAH Stevenson,Spin
RJ Ranpura,Spin
MEK Hussey,Spin
Shohidul Islam,Pace
Nikhil Chaudhary,Spin
M Bibi,Spin
YM Nkanya,Spin
D Maisuria,Spin
D Lakshan,Pace
I Karannagoda,Spin
K Gore,Spin
DK Arinaitwe,Spin
C Gunasekara,Pace
B Hepburn,Pace
Younis Khan,Pace
LS Baker,Spin
Zain Ul Abidin,Spin
GHI Harding,Spin
T Tshose,Spin
KC Cariappa,Spin
Khurram Chohan,Pace
CJPF Kalugamage,Spin
BE Scott,Pace
J Rasu,Pace
M Shiraz,Pace
V Shankar,Pace
Umar Adam,Spin
D Hemananda,Spin
HA Evans,Pace
Tuba Hassan,Spin
Gayan Munaweera,Pace
KD Shah,Spin
A Smith,Spin
KE Ebrahim,Pace
TL Moreki,Pace
HRA Rainey,Pace
I Barma,Pace
K Arua,Pace
AC Mushangwe,Pace
AMCD Abeysinghe,Spin
J Merlo,Pace
Akshay Wakhare,Spin
L Klazinga,Pace
Miles Hammond,Spin
J Sebanja,Pace
JE Anyon,Pace
Taranjeet Singh,Spin
M Joshi,Pace
I Wardlaw,Pace
Maria Jasvi,Pace
F Behardien,Pace
Aamer Yamin,Pace
JA Chohan,Spin
HJ Manenti,Pace
SB Wood,Pace
S Campbell,Pace
IT Guha,Pace
H Patel,Pace
Usman Najeeb,Pace
J Kariko,Spin
N Niranjana,Spin
TJ Phillips,Pace
LK O'Reilly,Pace
NH Atharagalla,Spin
VP Thamotharam,Spin
T Graves,Pace
Satyajeet Bachhav,Spin
Rizwan Haider,Pace
Manpreet Singh,Pace
E Wachira,Pace
D Malan,Spin
Nur Dania Syuhada,Spin
Mohameed Taiwo,Pace
Ankit Sharma,Spin
VR Iyer,Spin
L Phiri,Spin
SS Grimmond,Pace
DC Kelly,Pace
V Araa,Spin
MP Vaughan,Pace
SMA Priyanjan,Spin
BEW McCord,Pace
T Whitney,Pace
RJI Udayanga,Spin
BG Illing,Pace
J Sinfield,Spin
Tanvir Ahmed,Spin
Mayank Dagar,Spin
TP Allen,Pace
E Sebareme,Spin
C Dissanayake,Spin
Khushi Sharma,Pace
Akash Madhwal,Pace
NJ Shaw,Pace
AN Ahmed,Spin
SIR Dunkley,Pace
EL King,Pace
H Hotchandani,Spin
JH Brown,Pace
A Khan,Spin
Manisankar Murasingh,Pace
Amir Ali,Spin
KO Meth,Pace
HDJ Siegers,Pace
R Abdulkareem,Spin
G Sultana,Spin
RG Mukasa,Spin
HA Chohan,Spin
HJ Moore,Pace
Shariz Ahmad,Spin
KS Lokuarachchi,Spin
Raja Adeel,Spin
Ruchitha Venkatesh,Spin
P Useni,Spin
Nithish Kumar Reddy,Spin
Nur Arianna Natsya,Spin
Z Groenewald,Spin
Fitri Sham,Spin
R Oa,Spin
EA Russell,Pace
L Mills,Pace
J Wilson,Pace
DL Brangman,Pace
Chirag Jani,Pace
B Murekatete,Spin
Saud Munir,Pace
IK Gamantika,Spin
H Jacobs,Spin
Sahel Zadran,Pace
MA Abbas,Spin
AR Schaw,Spin
R Rijke,Pace
PLM Jayaratne,Spin
Sufyan Mehmood,Pace
M Hasanka,Spin
T Kamungozi,Spin
TMM Newton,Pace
TC Moore,Pace
Tamoor Sajjad,Spin
JJ Bushnell,Pace
SH Obed,Pace
C Raack,Spin
A Glen,Pace
CL Fitzpatrick,Pace
Yasir Ali,Pace
EWO Middleton,Pace
HH Ramanayake,Spin
L Bruce,Pace
C Valente,Pace
MS Chapman,Pace
Dharmendrasinh Jadeja,Spin
KR Sen,Spin
T Granger,Pace
SJC McAlindon,Pace
SN Shihepo,Pace
MJ Killeen,Pace
WK McCallan,Pace
BA Pai,Pace
Y Cariah,Spin
D Sandaruwan,Spin
K Waiswa,Pace
D Tucker,Spin
AL Edgar,Pace
SZ Mulani,Spin
Muhammad Jabir,Pace
Afif Hossain,Spin
S Vijayakumar,Spin
TP Kanwar,Pace
M Koli,Pace
I Thimira,Pace
A Gqamane,Pace
FOE van den Bergh,Pace
G Ngegba,Pace
SJ MacBeth,Pace
SA Oldershaw,Pace
MJ Guptill,Pace
Suboth Bhati,Spin
SMKS Senarathne,Spin
Muhammad Murad,Pace
LJ Robins,Spin
RK Paudel,Spin
S Ravichandran,Spin
D Jansen,Pace
N Fernandes,Spin
T Gwandu,Pace
WM Lonsdale,Pace
Suyash Sharma,Spin
S Veerapathiran,Pace
Hasan Murad,Spin
MJ Gibson,Pace
S Krishnashriram,Spin
S Steel,Spin
Anshuman Rath,Spin
SVE Bharathi,Spin
EHSN Silva,Spin
A Mokgotlhe,Pace
Z Burgess,Pace
AG Bailey,Pace
SM Katich,Pace
MT Stanley,Pace
MJ Nofal,Pace
Mujeeb-ur-Rehman,Spin
JEG Logan,Pace
Shorna Akter,Spin
ND Paranavithana,Spin
TR Sadhu,Spin
M Taniyama,Pace
IM Vaghela,Pace
A Chandel,Spin
KS Bagabena,Pace
S Matsikenyeri,Spin
DJ Redfern,Pace
BD Walters,Pace
RS Sandhu,Pace
Lakshay Garg,Pace
SK Springer,Pace
BA Bhatt,Spin
A Kohli,Pace
V Vijh,Pace
SMLD Samarakoon,Spin
Aisya Eleesa,Pace
Qanita Jalil,Spin
SL Quintyne,Spin
JM Cooke,Spin
WT Root,Pace
AC Botha,Pace
AM Kamara,Spin
AJ Finch,Pace
EI MacGregor,Spin
Sarfaraz Ali,Pace
HDPK Dharmasena,Spin
Muhammad Musa,Pace
S MacMahon,Pace
Dawood Ahmadzai,Spin
S Chaturongrattana,Spin
CV Milind,Pace
A Sigera,Spin
Mehedi Hasan Rana,Pace
S Pradhan,Spin
Manjural Islam Rana,Spin
Shubham Ranjane,Pace
TI Hinley,Spin
Darshan Misal,Spin
J Coetzee,Pace
B Masaba,Spin
N Madziva,Pace
CM Gough,Pace
Abdur Rauf,Pace
AE Paraam,Spin
Amir Farooq,Pace
Sufiyan Muqeem,Spin
AS Hansra,Spin
Hassan Ghulam,Spin
Sami Sohail,Pace
KAD Hurdle,Pace
Aftab Ahmed (2),Pace
HGKD Dhanushka,Spin
Qadeer Ahmed,Pace
SP Jones,Pace
CC Ainsworth,Pace
S Jayathilake,Spin
Muhammad Rohid,Spin
R Wilson,Pace
SP Mackin,Pace
Mohammed Irfan,Pace
K McGill,Pace
V Ateak,Spin
Aftab Ahmed,Pace
J Jarvis,Pace
Shivam Sharma,Pace
CD de Lange,Pace
Amjad Sher,Pace
E Mbofana,Spin
P Koech,Spin
S Immadi,Spin
JM Davison,Spin
T Taylor,Pace
E Hayward,Spin
JA Rudolph,Spin
JT Brassell,Spin
Raza Iqbal,Spin
S Hicks,Pace
N Harvey,Pace
MI Khagoitsa,Spin
Amar Sharma,Spin
GDR Eranga,Pace
NN Saidi,Spin
Arafat Bhuiyan,Pace
WT Gavera,Spin
R Musamali,Spin
HAM Samuddika,Spin
S Lakshan,Spin
C Abel,Pace
A Ndlovu,Spin
N Navaika,Spin
AM Guruge,Spin
Arshad Khan,Pace
DM Gondaria,Spin
AK Maguire,Pace
MNM Dilshad,Spin
Vinay Ravi,Pace
Khalid Ahmadi,Pace
T Wangchuk,Spin
GH Lewis,Pace
Mohammad Ghazanfar,Spin
A Pyecroft,Pace
MNK Fernando,Spin
I Manack,Spin
DG Nalkande,Pace
Rachel Delaney,Spin
R Klein,Pace
I Ntirenganya,Spin
K Mungroo,Pace
TB Sole,Spin
M Mwatile,Spin
Puja Mahato,Spin
L Idambo,Spin
B Arora,Spin
Irfan Ahmed,Pace
AAS Silva,Spin
RL Grundy,Spin
I Takahashi,Spin
EU Kejarukua,Spin
MD Wagstaff,Spin
Mahbubul Alam,Pace
BP Nash,Spin
A Choudhary,Pace
GP Tom,Spin
SS Kang,Spin
N Rana,Pace
MGSM Fernando,Spin
K V Sasikanth,Spin
MLA Ellis,Spin
Gurinder Singh,Spin
SM Fallah,Spin
K Kartikeya,Spin
L Maritz,Pace
A Dercksen,Pace
Haroon Arshad,Pace
V Zimonjic,Pace
D Muhumuza,Pace
Khalid Zahid,Pace
WACP Wijelath,Spin
Aminata Kamara,Spin
RK Kiseto,Spin
Mukidul Islam,Pace
SS Dhindsa,Spin
NK Yadav,Spin
K Mirpuri,Pace
K Joshi,Pace
MR Swart,Pace
LA Burns,Pace
GC Tonge,Pace
GD Arta,Spin
A Surenkumar,Spin
Mrittunjoy Chowdhury,Pace
JA Woolston,Pace
RR Simmonds,Pace
V Ganesan,Spin
GW Flower,Pace
Simarjeet Singh,Pace
Al Islam,Spin
GJ Thompson,Pace
AS Roy,Spin
A Dalzell,Pace
IKO Aboagye,Pace
Mohammad Tauqir,Spin
Tanveer Ahmed,Pace
Nihaduzzaman,Spin
GH Vihari,Spin
Baltej Singh,Pace
Syazrul Idrus,Pace
GM Ewing,Pace
K Anjula,Pace
Nasir Shafiq,Spin
V Pyke,Pace
Khurram Khan,Spin
RB Javed,Pace
Mas Elysa,Spin
Mohammed Awais,Pace
LT Bichard,Pace
Sarawut Maliwan,Spin
SM Sharma,Spin
CZ Harris,Pace
PDRL Perera,Spin
Saurabh Kumar,Spin
LN O'Connor,Pace
DC Smith,Pace
J Jojo,Pace
JA Prestwidge,Pace
Ibrahim Rizan,Spin
J Singye,Spin
Sasha Azmi,Pace
Mukesh Choudhary,Pace
Sukhjit Singh,Spin
Diwesh Pathania,Pace
Mohammad Mohsin,Spin
CM Barnard,Pace
Hussain Talat,Pace
DP Vaidya,Spin
SZ Thakor,Spin
Maryam Omar,Spin
AM Foreman,Spin
BL Edwards,Pace
H Lakov,Pace
NJ Maddinson,Pace
Hisham Sheikh,Pace
Ali Nayyer,Pace
CJ Bodenstein,Pace
R Padunglerd,Pace
GC Murtaza,Spin
D Ferreira,Pace
M Levitt,Pace
KMC Bandara,Spin
R Andrew,Pace
SB Odedra,Pace
S Navaratnam,Spin
ML Turner,Pace
Saqlain Sajib,Spin
Nizakat Khan,Spin
GD Panayi,Pace
DP Sibley,Pace
Anas Khan,Spin
EJ Richardson,Pace
Mohammad Sharif,Pace
Fawad Alam,Spin
RK Gulati,Spin
CB Paul,Pace
Kartik Tyagi,Pace
D du Preez,Pace
BL Morgan,Pace
Manjural Islam,Spin
L Udeh,Pace
MH Ushanga,Pace
SB Wagh,Pace
AJ Neal,Pace
Vijaykumar Vyshak,Pace
S Bhari,Spin
E Anyipo,Pace
A Bhattarai,Spin
RD Harrison,Pace
Priyada Murali,Spin
AT Hucker,Pace
SF Mire,Pace
Arshad Iqbal,Pace
Kainat Imtiaz,Pace
V Masekesa,Pace
Pankaj Jaswal,Pace
S Tuhadeleni,Pace
PA de Silva,Spin
KDA Lukies,Pace
S Nisansala,Pace
Priya Mishra,Spin
C Leeson,Pace
S Bodha,Pace
A Nagwaswalla,Pace
Harsh Tyagi,Pace
S Gill,Spin
RL Johnson,Pace
CF Hartley,Spin
MD Botha,Spin
MP Singh,Spin
S Dhakal,Spin
WL Coetsee,Spin
S Disanayaka,Spin
AG Wharf,Pace
K Hinds,Spin
Dayyaan Galiem,Pace
NA Barnwell,Pace
Sayan Ghosh,Pace
JPH Hayes,Pace
EK Marlow,Pace
HP Patel,Spin
MP Bicknell,Pace
I Danladi,Spin
Fariha Trisna,Spin
Sabbir Rahman,Spin
CD McMillan,Pace
NW Sariani,Spin
MDE Holden,Pace
Shafina Mahesh,Spin
Atif Mehmood,Pace
SZ Vayani,Spin
SA Mohandas,Spin
Mehran Khan,Pace
K Ota,Pace
C Hinze,Pace
CW Andrews,Pace
Zuhaib Zubair,Pace
MB Tambe,Spin
S Midhun,Spin
A Neill,Pace
SF Jerome,Pace
Bilal Muhammad,Pace
MP O'Dowd,Spin
CA Vidler,Pace
Qamar Mushtaque,Pace
Vasuki Koushik,Pace
K Nadeeshan,Spin
M Syahadat Ramli,Pace
D Birrell,Pace
SS Johnston,Pace
J Minto,Pace
Azim Kazi,Spin
Mohammad Imran,Pace
S Solman,Pace
SEA Ruck,Pace
MW Machan,Pace
H Birkett,Pace
MKDI Amerasinghe,Pace
RT Arothe,Pace
Amit Mishra,Spin
AJ Nair,Spin
TS Muyeye,Pace
Usman Tariq,Pace
Adnan Idrees,Spin
K Nuwantha,Pace
I Khan,Pace
Umair Tariq,Pace
Sumit Kumar,Pace
CT Mutombodzi,Pace
W Peatfield,Pace
Noman Amjad,Pace
A Rangaswamy,Spin
R Nehonde,Pace
H Bharadwaj,Pace
TT Soe,Pace
A Munisar,Pace
Parveen Kumar,Pace
GM Muthui,Pace
CC Blake,Pace
GP Meade,Pace
N Holland,Pace
NLKWR Dewi,Pace
A Nanda,Pace
H Rathnamudali,Pace
R Dhakal,Pace
Huzaifa Mohammed,Pace
R Shukla,Pace
M Taylor,Pace
Bandaru Ayyappa,Pace
Ada Bhasin,Spin
Naveed Ahmed,Spin
MA Aponso,Spin
SACA King,Pace
L Little,Pace
NK Aneesh Kumar,Spin
C Mahamalage,Spin
Usman Khalid,Pace
E Kearney,Pace
MA Suji,Spin
NS Dhaliwal,Spin
Sajid Liaqat,Pace
C White,Spin
A Sharma,Pace
A Salomao,Spin
RN Lewis,Pace
LN McCarthy,Pace
V Thewmika,Spin
T Jamtsho,Spin
AM Green,Spin
SA Campbelle,Spin
Yasir Mohammad,Spin
W Parker,Spin
M Yanagida,Pace
AS Qwele,Spin
CJ Alexander,Pace
C Waiswa,Pace
TN Guruge,Spin
Sirajullah Khadim,Spin
AJ Kenealy,Pace
Sonali Patel,Pace
M Tharupathi,Spin
S Miyaji,Pace
Sameen Gul,Pace
CE Bennett,Pace
L Siaka,Pace
GE Hall,Pace
Y Maddege,Spin
NE Mbhalati,Pace
WRKS Darshika,Spin
T Zangmo,Spin
PRCS Kumarihami,Spin
D Jakiel,Pace
Waqar Younis,Pace
A Bosch,Pace
Ajay Mandal,Spin
BA Jackson,Pace
M Mohammed,Pace
